[INFO ] 2020-08-24 18:38:01,969 -- WorkingPath: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\
[INFO ] 2020-08-24 18:38:01,982 -- Your original rating data path: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\ratings.txt
[INFO ] 2020-08-24 18:38:01,983 -- Current working path: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\
[WARN ] 2020-08-24 18:38:01,988 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2020-08-24 18:38:02,069 -- User, Item, Rating, time:na, time:weekday, time:weekend, location:na, location:cinema, location:home, companion:na, companion:alone, companion:family, companion:partner
[INFO ] 2020-08-24 18:38:02,291 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,316 -- Dataset: ...e\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,320 -- DataPath: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,602 -- Rating data set has been successfully loaded.
[INFO ] 2020-08-24 18:38:02,626 -- 
/**************************************************************************************************
 *
 * Dataset: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (time, location, companion)
 * Context conditions: 10 (time: 3, location: 3, companion: 4)
 * Context situations: 13
 * Data density: 1,8230%
 * Scale distribution: [1.0 x 829, 2.0 x 625, 4.0 x 1209, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3,328892
 * Standard deviation of all ratings: 1,414777
 * Mode of all rating values: 5,000000
 * Median of all rating values: 4,000000
 *
 **************************************************************************************************/
[INFO ] 2020-08-24 18:38:02,630 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2020-08-24 18:38:02,655 -- Fold [1]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,672 -- Fold [2]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,687 -- Fold [3]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,702 -- Fold [4]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,709 -- Fold [5]: training amount: 4024, test amount: 1005
[DEBUG] 2020-08-24 18:38:03,055 -- CAMF_CU fold [1] iter 16: loss = 984.74243, delta_loss = 6.2918863, learn_rate = 0.039598633
[DEBUG] 2020-08-24 18:38:03,055 -- CAMF_CU fold [2] iter 18: loss = 1008.9824, delta_loss = -1.6595242, learn_rate = 0.04365749
[DEBUG] 2020-08-24 18:38:03,057 -- CAMF_CU fold [5] iter 15: loss = 1026.7798, delta_loss = 11.013109, learn_rate = 0.037712984
[DEBUG] 2020-08-24 18:38:03,058 -- CAMF_CU fold [3] iter 16: loss = 1009.7882, delta_loss = 6.4402475, learn_rate = 0.039598633
[DEBUG] 2020-08-24 18:38:03,060 -- CAMF_CU fold [1] iter 17: loss = 982.65576, delta_loss = 2.0866804, learn_rate = 0.04157856
[DEBUG] 2020-08-24 18:38:03,062 -- CAMF_CU fold [2] iter 19: loss = 857.206, delta_loss = 151.7764, learn_rate = 0.021828745
[DEBUG] 2020-08-24 18:38:03,062 -- CAMF_CU fold [5] iter 16: loss = 1020.9139, delta_loss = 5.8659472, learn_rate = 0.039598633
[DEBUG] 2020-08-24 18:38:03,063 -- CAMF_CU fold [4] iter 11: loss = 1037.9824, delta_loss = 45.765926, learn_rate = 0.031026565
[DEBUG] 2020-08-24 18:38:03,067 -- CAMF_CU fold [3] iter 17: loss = 1007.3977, delta_loss = 2.390524, learn_rate = 0.04157856
[DEBUG] 2020-08-24 18:38:03,069 -- CAMF_CU fold [2] iter 20: loss = 842.6944, delta_loss = 14.511592, learn_rate = 0.022920182
[DEBUG] 2020-08-24 18:38:03,069 -- CAMF_CU fold [4] iter 12: loss = 1004.7473, delta_loss = 33.235043, learn_rate = 0.03257789
[DEBUG] 2020-08-24 18:38:03,073 -- CAMF_CU fold [5] iter 17: loss = 1019.4274, delta_loss = 1.4864216, learn_rate = 0.04157856
[DEBUG] 2020-08-24 18:38:03,077 -- CAMF_CU fold [3] iter 18: loss = 1008.6418, delta_loss = -1.2440912, learn_rate = 0.04365749
[DEBUG] 2020-08-24 18:38:03,079 -- CAMF_CU fold [4] iter 13: loss = 980.6886, delta_loss = 24.058708, learn_rate = 0.034206785
[DEBUG] 2020-08-24 18:38:03,081 -- CAMF_CU fold [1] iter 18: loss = 984.4025, delta_loss = -1.7467988, learn_rate = 0.04365749
[DEBUG] 2020-08-24 18:38:03,081 -- CAMF_CU fold [5] iter 18: loss = 1021.7108, delta_loss = -2.283409, learn_rate = 0.04365749
[DEBUG] 2020-08-24 18:38:03,084 -- CAMF_CU fold [3] iter 19: loss = 856.2199, delta_loss = 152.42188, learn_rate = 0.021828745
[DEBUG] 2020-08-24 18:38:03,086 -- CAMF_CU fold [4] iter 14: loss = 963.60455, delta_loss = 17.08407, learn_rate = 0.035917126
[DEBUG] 2020-08-24 18:38:03,089 -- CAMF_CU fold [5] iter 19: loss = 865.9284, delta_loss = 155.78242, learn_rate = 0.021828745
[DEBUG] 2020-08-24 18:38:03,089 -- CAMF_CU fold [1] iter 19: loss = 836.7654, delta_loss = 147.63719, learn_rate = 0.021828745
[DEBUG] 2020-08-24 18:38:03,094 -- CAMF_CU fold [4] iter 15: loss = 952.2169, delta_loss = 11.387664, learn_rate = 0.037712984
[DEBUG] 2020-08-24 18:38:03,094 -- CAMF_CU fold [3] iter 20: loss = 842.52515, delta_loss = 13.694793, learn_rate = 0.022920182
[DEBUG] 2020-08-24 18:38:03,097 -- CAMF_CU fold [5] iter 20: loss = 852.3556, delta_loss = 13.572826, learn_rate = 0.022920182
[DEBUG] 2020-08-24 18:38:03,098 -- CAMF_CU fold [2] iter 21: loss = 840.26794, delta_loss = 2.426498, learn_rate = 0.024066191
[DEBUG] 2020-08-24 18:38:03,098 -- CAMF_CU fold [1] iter 20: loss = 821.9807, delta_loss = 14.784646, learn_rate = 0.022920182
[DEBUG] 2020-08-24 18:38:03,104 -- CAMF_CU fold [4] iter 16: loss = 945.729, delta_loss = 6.4878764, learn_rate = 0.039598633
[DEBUG] 2020-08-24 18:38:03,105 -- CAMF_CU fold [5] iter 21: loss = 850.04974, delta_loss = 2.305849, learn_rate = 0.024066191
[DEBUG] 2020-08-24 18:38:03,106 -- CAMF_CU fold [1] iter 21: loss = 819.28754, delta_loss = 2.6931746, learn_rate = 0.024066191
[DEBUG] 2020-08-24 18:38:03,106 -- CAMF_CU fold [2] iter 22: loss = 841.3588, delta_loss = -1.0908762, learn_rate = 0.0252695
[DEBUG] 2020-08-24 18:38:03,114 -- CAMF_CU fold [3] iter 21: loss = 839.7077, delta_loss = 2.8174443, learn_rate = 0.024066191
[DEBUG] 2020-08-24 18:38:03,116 -- CAMF_CU fold [1] iter 22: loss = 820.1164, delta_loss = -0.8288816, learn_rate = 0.0252695
[DEBUG] 2020-08-24 18:38:03,116 -- CAMF_CU fold [2] iter 23: loss = 757.2122, delta_loss = 84.14661, learn_rate = 0.01263475
[DEBUG] 2020-08-24 18:38:03,116 -- CAMF_CU fold [5] iter 22: loss = 851.0465, delta_loss = -0.9967745, learn_rate = 0.0252695
[DEBUG] 2020-08-24 18:38:03,120 -- CAMF_CU fold [4] iter 17: loss = 943.5502, delta_loss = 2.1788163, learn_rate = 0.04157856
[DEBUG] 2020-08-24 18:38:03,120 -- CAMF_CU fold [3] iter 22: loss = 840.25037, delta_loss = -0.54270023, learn_rate = 0.0252695
[DEBUG] 2020-08-24 18:38:03,122 -- CAMF_CU fold [2] iter 24: loss = 753.92914, delta_loss = 3.2830448, learn_rate = 0.013266488
[DEBUG] 2020-08-24 18:38:03,124 -- CAMF_CU fold [5] iter 23: loss = 765.0115, delta_loss = 86.035065, learn_rate = 0.01263475
[DEBUG] 2020-08-24 18:38:03,125 -- CAMF_CU fold [4] iter 18: loss = 945.2026, delta_loss = -1.6523653, learn_rate = 0.04365749
[DEBUG] 2020-08-24 18:38:03,128 -- CAMF_CU fold [2] iter 25: loss = 753.70654, delta_loss = 0.2225772, learn_rate = 0.013929812
[DEBUG] 2020-08-24 18:38:03,129 -- CAMF_CU fold [3] iter 23: loss = 755.7242, delta_loss = 84.5262, learn_rate = 0.01263475
[DEBUG] 2020-08-24 18:38:03,131 -- CAMF_CU fold [4] iter 19: loss = 799.25867, delta_loss = 145.9439, learn_rate = 0.021828745
[DEBUG] 2020-08-24 18:38:03,133 -- CAMF_CU fold [5] iter 24: loss = 761.73004, delta_loss = 3.2814326, learn_rate = 0.013266488
[DEBUG] 2020-08-24 18:38:03,135 -- CAMF_CU fold [3] iter 24: loss = 752.5507, delta_loss = 3.1734524, learn_rate = 0.013266488
[DEBUG] 2020-08-24 18:38:03,137 -- CAMF_CU fold [4] iter 20: loss = 787.4206, delta_loss = 11.83806, learn_rate = 0.022920182
[DEBUG] 2020-08-24 18:38:03,139 -- CAMF_CU fold [5] iter 25: loss = 761.4022, delta_loss = 0.3278059, learn_rate = 0.013929812
[DEBUG] 2020-08-24 18:38:03,140 -- CAMF_CU fold [1] iter 23: loss = 737.8897, delta_loss = 82.226715, learn_rate = 0.01263475
[DEBUG] 2020-08-24 18:38:03,141 -- CAMF_CU fold [3] iter 25: loss = 752.1018, delta_loss = 0.44895342, learn_rate = 0.013929812
[DEBUG] 2020-08-24 18:38:03,141 -- CAMF_CU fold [2] iter 26: loss = 754.7053, delta_loss = -0.9987304, learn_rate = 0.014626304
[DEBUG] 2020-08-24 18:38:03,146 -- CAMF_CU fold [1] iter 24: loss = 734.3184, delta_loss = 3.5712557, learn_rate = 0.013266488
[DEBUG] 2020-08-24 18:38:03,146 -- CAMF_CU fold [3] iter 26: loss = 752.8133, delta_loss = -0.711503, learn_rate = 0.014626304
[DEBUG] 2020-08-24 18:38:03,148 -- CAMF_CU fold [2] iter 27: loss = 707.1793, delta_loss = 47.52601, learn_rate = 0.007313152
[DEBUG] 2020-08-24 18:38:03,148 -- CAMF_CU fold [4] iter 21: loss = 785.34344, delta_loss = 2.07714, learn_rate = 0.024066191
[DEBUG] 2020-08-24 18:38:03,151 -- CAMF_CU fold [1] iter 25: loss = 733.88135, delta_loss = 0.4370705, learn_rate = 0.013929812
[DEBUG] 2020-08-24 18:38:03,153 -- CAMF_CU fold [2] iter 28: loss = 706.8224, delta_loss = 0.35692587, learn_rate = 0.007678809
[DEBUG] 2020-08-24 18:38:03,154 -- CAMF_CU fold [4] iter 22: loss = 786.4433, delta_loss = -1.0998173, learn_rate = 0.0252695
[DEBUG] 2020-08-24 18:38:03,154 -- CAMF_CU fold [3] iter 27: loss = 705.1155, delta_loss = 47.697803, learn_rate = 0.007313152
[DEBUG] 2020-08-24 18:38:03,157 -- CAMF_CU fold [1] iter 26: loss = 734.68494, delta_loss = -0.8035714, learn_rate = 0.014626304
[DEBUG] 2020-08-24 18:38:03,161 -- CAMF_CU fold [4] iter 23: loss = 705.93225, delta_loss = 80.51102, learn_rate = 0.01263475
[DEBUG] 2020-08-24 18:38:03,162 -- CAMF_CU fold [3] iter 28: loss = 704.73474, delta_loss = 0.3807652, learn_rate = 0.007678809
[DEBUG] 2020-08-24 18:38:03,163 -- CAMF_CU fold [1] iter 27: loss = 688.0047, delta_loss = 46.68027, learn_rate = 0.007313152
[DEBUG] 2020-08-24 18:38:03,168 -- CAMF_CU fold [2] iter 29: loss = 707.17194, delta_loss = -0.34955153, learn_rate = 0.00806275
[DEBUG] 2020-08-24 18:38:03,168 -- CAMF_CU fold [3] iter 29: loss = 704.9757, delta_loss = -0.24098119, learn_rate = 0.00806275
[DEBUG] 2020-08-24 18:38:03,168 -- CAMF_CU fold [1] iter 28: loss = 687.5149, delta_loss = 0.48977405, learn_rate = 0.007678809
[DEBUG] 2020-08-24 18:38:03,148 -- CAMF_CU fold [5] iter 26: loss = 762.2737, delta_loss = -0.87146765, learn_rate = 0.014626304
[DEBUG] 2020-08-24 18:38:03,170 -- CAMF_CU fold [4] iter 24: loss = 703.3828, delta_loss = 2.5494337, learn_rate = 0.013266488
[DEBUG] 2020-08-24 18:38:03,173 -- CAMF_CU fold [2] iter 30: loss = 681.1888, delta_loss = 25.983156, learn_rate = 0.004031375
[DEBUG] 2020-08-24 18:38:03,173 -- CAMF_CU fold [3] iter 30: loss = 678.9307, delta_loss = 26.04499, learn_rate = 0.004031375
[DEBUG] 2020-08-24 18:38:03,174 -- CAMF_CU fold [5] iter 27: loss = 713.7715, delta_loss = 48.502213, learn_rate = 0.007313152
[DEBUG] 2020-08-24 18:38:03,178 -- CAMF_CU fold [4] iter 25: loss = 703.29956, delta_loss = 0.0832445, learn_rate = 0.013929812
[DEBUG] 2020-08-24 18:38:03,180 -- CAMF_CU fold [2] iter 31: loss = 681.30597, delta_loss = -0.11719455, learn_rate = 0.0042329435
[DEBUG] 2020-08-24 18:38:03,180 -- CAMF_CU fold [3] iter 31: loss = 679.00977, delta_loss = -0.07903549, learn_rate = 0.0042329435
[DEBUG] 2020-08-24 18:38:03,180 -- CAMF_CU fold [5] iter 28: loss = 713.3688, delta_loss = 0.40271834, learn_rate = 0.007678809
[DEBUG] 2020-08-24 18:38:03,186 -- CAMF_CU fold [4] iter 26: loss = 704.2939, delta_loss = -0.99432635, learn_rate = 0.014626304
[DEBUG] 2020-08-24 18:38:03,187 -- CAMF_CU fold [5] iter 29: loss = 713.6406, delta_loss = -0.271855, learn_rate = 0.00806275
[DEBUG] 2020-08-24 18:38:03,188 -- CAMF_CU fold [2] iter 32: loss = 667.7056, delta_loss = 13.600362, learn_rate = 0.0021164718
[DEBUG] 2020-08-24 18:38:03,189 -- CAMF_CU fold [1] iter 29: loss = 687.74194, delta_loss = -0.22704235, learn_rate = 0.00806275
[DEBUG] 2020-08-24 18:38:03,193 -- CAMF_CU fold [5] iter 30: loss = 687.14575, delta_loss = 26.494884, learn_rate = 0.004031375
[DEBUG] 2020-08-24 18:38:03,193 -- CAMF_CU fold [4] iter 27: loss = 658.9675, delta_loss = 45.326412, learn_rate = 0.007313152
