Final Results by CAMF_CU, Pre5: 0,054541,Pre10: 0,060368, Rec5: 0,094465, Rec10: 0,212867, AUC5: 0,593502, AUC10: 0,666049, MAP5: 0,042571, MAP10: 0,063394,NDCG5: 0,071102, NDCG10: 0,121583,MRR5: 0,100703, MRR10: 0,126481, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:05','00:00'
Final Results by CAMF_CU, Pre5: 0,057304,Pre10: 0,058193, Rec5: 0,098103, Rec10: 0,200566, AUC5: 0,597444, AUC10: 0,662405, MAP5: 0,044464, MAP10: 0,062438,NDCG5: 0,074272, NDCG10: 0,118545,MRR5: 0,105338, MRR10: 0,128874, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,046768,Pre10: 0,055735, Rec5: 0,081320, Rec10: 0,199736, AUC5: 0,582559, AUC10: 0,656678, MAP5: 0,036520, MAP10: 0,056518,NDCG5: 0,061787, NDCG10: 0,111861,MRR5: 0,091885, MRR10: 0,118686, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,055818,Pre10: 0,057204, Rec5: 0,097192, Rec10: 0,203850, AUC5: 0,597531, AUC10: 0,660940, MAP5: 0,039794, MAP10: 0,058296,NDCG5: 0,069835, NDCG10: 0,114848,MRR5: 0,097229, MRR10: 0,119639, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,056899,Pre10: 0,060237, Rec5: 0,096277, Rec10: 0,203137, AUC5: 0,597450, AUC10: 0,663772, MAP5: 0,041523, MAP10: 0,060452,NDCG5: 0,071928, NDCG10: 0,118214,MRR5: 0,104472, MRR10: 0,127886, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,057255,Pre10: 0,058729, Rec5: 0,102064, Rec10: 0,207912, AUC5: 0,598147, AUC10: 0,661454, MAP5: 0,039726, MAP10: 0,058375,NDCG5: 0,070731, NDCG10: 0,115795,MRR5: 0,096028, MRR10: 0,118144, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,056802,Pre10: 0,061706, Rec5: 0,100974, Rec10: 0,221622, AUC5: 0,599695, AUC10: 0,670016, MAP5: 0,043082, MAP10: 0,064154,NDCG5: 0,073657, NDCG10: 0,124572,MRR5: 0,102848, MRR10: 0,127634, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,050868,Pre10: 0,057172, Rec5: 0,087756, Rec10: 0,199183, AUC5: 0,588410, AUC10: 0,655225, MAP5: 0,038212, MAP10: 0,057839,NDCG5: 0,065076, NDCG10: 0,112837,MRR5: 0,092057, MRR10: 0,115604, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,050991,Pre10: 0,058073, Rec5: 0,091025, Rec10: 0,206985, AUC5: 0,591905, AUC10: 0,660539, MAP5: 0,042934, MAP10: 0,063203,NDCG5: 0,070357, NDCG10: 0,119757,MRR5: 0,102975, MRR10: 0,127784, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,051767,Pre10: 0,054543, Rec5: 0,085812, Rec10: 0,185145, AUC5: 0,588592, AUC10: 0,652754, MAP5: 0,037756, MAP10: 0,054716,NDCG5: 0,064720, NDCG10: 0,107320,MRR5: 0,093785, MRR10: 0,116465, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,050045,Pre10: 0,056493, Rec5: 0,087634, Rec10: 0,197599, AUC5: 0,586340, AUC10: 0,658319, MAP5: 0,036057, MAP10: 0,054591,NDCG5: 0,062676, NDCG10: 0,109826,MRR5: 0,085719, MRR10: 0,111822, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,055219,Pre10: 0,059164, Rec5: 0,098036, Rec10: 0,205886, AUC5: 0,597556, AUC10: 0,662109, MAP5: 0,038593, MAP10: 0,058129,NDCG5: 0,069134, NDCG10: 0,115745,MRR5: 0,097463, MRR10: 0,120368, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,053528,Pre10: 0,058062, Rec5: 0,092520, Rec10: 0,204120, AUC5: 0,594092, AUC10: 0,662061, MAP5: 0,040132, MAP10: 0,059781,NDCG5: 0,069177, NDCG10: 0,116801,MRR5: 0,100918, MRR10: 0,125419, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,058282,Pre10: 0,061736, Rec5: 0,102546, Rec10: 0,216737, AUC5: 0,600212, AUC10: 0,668172, MAP5: 0,040805, MAP10: 0,060858,NDCG5: 0,071944, NDCG10: 0,120533,MRR5: 0,096842, MRR10: 0,120566, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,058594,Pre10: 0,059593, Rec5: 0,105861, Rec10: 0,209708, AUC5: 0,601879, AUC10: 0,662648, MAP5: 0,051629, MAP10: 0,069981,NDCG5: 0,081596, NDCG10: 0,125930,MRR5: 0,113826, MRR10: 0,135110, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,046933,Pre10: 0,056062, Rec5: 0,082844, Rec10: 0,194823, AUC5: 0,584615, AUC10: 0,654284, MAP5: 0,035844, MAP10: 0,055583,NDCG5: 0,061598, NDCG10: 0,110191,MRR5: 0,090301, MRR10: 0,115895, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,053070,Pre10: 0,057938, Rec5: 0,089431, Rec10: 0,202511, AUC5: 0,590825, AUC10: 0,659586, MAP5: 0,038045, MAP10: 0,056944,NDCG5: 0,065907, NDCG10: 0,113391,MRR5: 0,093999, MRR10: 0,118191, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,050663,Pre10: 0,057936, Rec5: 0,090454, Rec10: 0,206240, AUC5: 0,589852, AUC10: 0,661314, MAP5: 0,040774, MAP10: 0,060581,NDCG5: 0,067607, NDCG10: 0,116718,MRR5: 0,094111, MRR10: 0,119717, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,051658,Pre10: 0,057549, Rec5: 0,092572, Rec10: 0,205110, AUC5: 0,593262, AUC10: 0,662485, MAP5: 0,037368, MAP10: 0,056545,NDCG5: 0,065621, NDCG10: 0,113469,MRR5: 0,091735, MRR10: 0,116292, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,055137,Pre10: 0,057344, Rec5: 0,101925, Rec10: 0,200088, AUC5: 0,599217, AUC10: 0,659998, MAP5: 0,043611, MAP10: 0,060699,NDCG5: 0,074074, NDCG10: 0,116612,MRR5: 0,104669, MRR10: 0,126544, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,052076,Pre10: 0,058785, Rec5: 0,098424, Rec10: 0,210148, AUC5: 0,594768, AUC10: 0,664400, MAP5: 0,041650, MAP10: 0,060760,NDCG5: 0,070394, NDCG10: 0,118295,MRR5: 0,096771, MRR10: 0,121829, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,056299,Pre10: 0,058470, Rec5: 0,095101, Rec10: 0,204836, AUC5: 0,595917, AUC10: 0,660505, MAP5: 0,040324, MAP10: 0,059365,NDCG5: 0,070252, NDCG10: 0,116558,MRR5: 0,099763, MRR10: 0,122682, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,054859,Pre10: 0,059423, Rec5: 0,093489, Rec10: 0,204608, AUC5: 0,592826, AUC10: 0,661243, MAP5: 0,040447, MAP10: 0,059942,NDCG5: 0,069114, NDCG10: 0,116932,MRR5: 0,098001, MRR10: 0,122301, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,058246,Pre10: 0,058273, Rec5: 0,101672, Rec10: 0,205316, AUC5: 0,599538, AUC10: 0,661515, MAP5: 0,045740, MAP10: 0,064294,NDCG5: 0,076107, NDCG10: 0,120372,MRR5: 0,105877, MRR10: 0,127987, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,055336,Pre10: 0,060598, Rec5: 0,100744, Rec10: 0,215183, AUC5: 0,600828, AUC10: 0,668894, MAP5: 0,046273, MAP10: 0,066314,NDCG5: 0,076518, NDCG10: 0,125301,MRR5: 0,110743, MRR10: 0,134572, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,052792,Pre10: 0,057573, Rec5: 0,091063, Rec10: 0,202295, AUC5: 0,588684, AUC10: 0,658502, MAP5: 0,038832, MAP10: 0,057916,NDCG5: 0,066405, NDCG10: 0,113692,MRR5: 0,092145, MRR10: 0,117113, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,049820,Pre10: 0,057556, Rec5: 0,086611, Rec10: 0,207759, AUC5: 0,587205, AUC10: 0,661806, MAP5: 0,036583, MAP10: 0,057550,NDCG5: 0,063132, NDCG10: 0,114511,MRR5: 0,088117, MRR10: 0,115356, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,055976,Pre10: 0,059503, Rec5: 0,097263, Rec10: 0,208343, AUC5: 0,596973, AUC10: 0,665319, MAP5: 0,039430, MAP10: 0,058516,NDCG5: 0,069837, NDCG10: 0,117128,MRR5: 0,098289, MRR10: 0,122767, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,052150,Pre10: 0,057788, Rec5: 0,090947, Rec10: 0,202254, AUC5: 0,592394, AUC10: 0,658919, MAP5: 0,036970, MAP10: 0,056587,NDCG5: 0,065275, NDCG10: 0,112962,MRR5: 0,090736, MRR10: 0,114874, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
