[INFO ] 2020-09-08 14:37:11,341 -- WorkingPath: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/
[INFO ] 2020-09-08 14:37:11,376 -- Your original rating data path: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//ratings.txt
[INFO ] 2020-09-08 14:37:11,376 -- Current working path: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/
[WARN ] 2020-09-08 14:37:11,389 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2020-09-08 14:37:11,438 -- User, Item, Rating, time:na, time:weekday, time:weekend, location:na, location:cinema, location:home, companion:na, companion:alone, companion:family, companion:partner
[INFO ] 2020-09-08 14:37:11,524 -- Data transformaton completed (from Compact to Binary format). See new rating file: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,599 -- Dataset: .../source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,602 -- DataPath: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,768 -- Rating data set has been successfully loaded.
[INFO ] 2020-09-08 14:37:11,781 -- 
/******************************************************************************************************
 *
 * Dataset: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (time, location, companion)
 * Context conditions: 10 (time: 3, location: 3, companion: 4)
 * Context situations: 13
 * Data density: 1.8230%
 * Scale distribution: [1.0 x 829, 2.0 x 625, 4.0 x 1209, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3.328892
 * Standard deviation of all ratings: 1.414777
 * Mode of all rating values: 5.000000
 * Median of all rating values: 4.000000
 *
 ******************************************************************************************************/
[INFO ] 2020-09-08 14:37:11,782 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2020-09-08 14:37:11,817 -- Fold [1]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,826 -- Fold [2]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,834 -- Fold [3]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,840 -- Fold [4]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,844 -- Fold [5]: training amount: 4024, test amount: 1005
[DEBUG] 2020-09-08 14:37:12,092 -- CAMF_CU fold [2] iter 18: loss = 1027.7412, delta_loss = 0.15836021, learn_rate = 0.04365749
[DEBUG] 2020-09-08 14:37:12,097 -- CAMF_CU fold [5] iter 19: loss = 857.04034, delta_loss = 153.735, learn_rate = 0.021828745
[DEBUG] 2020-09-08 14:37:12,097 -- CAMF_CU fold [3] iter 17: loss = 988.2102, delta_loss = 1.9987104, learn_rate = 0.04157856
[DEBUG] 2020-09-08 14:37:12,097 -- CAMF_CU fold [4] iter 16: loss = 971.8956, delta_loss = 7.5690126, learn_rate = 0.039598633
[DEBUG] 2020-09-08 14:37:12,098 -- CAMF_CU fold [2] iter 19: loss = 1031.1581, delta_loss = -3.4168372, learn_rate = 0.045840364
[DEBUG] 2020-09-08 14:37:12,098 -- CAMF_CU fold [1] iter 17: loss = 985.74146, delta_loss = 1.3901546, learn_rate = 0.04157856
[DEBUG] 2020-09-08 14:37:12,100 -- CAMF_CU fold [2] iter 20: loss = 870.1361, delta_loss = 161.02194, learn_rate = 0.022920182
[DEBUG] 2020-09-08 14:37:12,100 -- CAMF_CU fold [4] iter 17: loss = 968.2574, delta_loss = 3.6382296, learn_rate = 0.04157856
[DEBUG] 2020-09-08 14:37:12,101 -- CAMF_CU fold [3] iter 18: loss = 990.2165, delta_loss = -2.0063267, learn_rate = 0.04365749
[DEBUG] 2020-09-08 14:37:12,101 -- CAMF_CU fold [1] iter 18: loss = 988.0651, delta_loss = -2.3236208, learn_rate = 0.04365749
[DEBUG] 2020-09-08 14:37:12,101 -- CAMF_CU fold [5] iter 20: loss = 843.95294, delta_loss = 13.087403, learn_rate = 0.022920182
[DEBUG] 2020-09-08 14:37:12,103 -- CAMF_CU fold [2] iter 21: loss = 853.8843, delta_loss = 16.25183, learn_rate = 0.024066191
[DEBUG] 2020-09-08 14:37:12,103 -- CAMF_CU fold [4] iter 18: loss = 968.1932, delta_loss = 0.064222574, learn_rate = 0.04365749
[DEBUG] 2020-09-08 14:37:12,104 -- CAMF_CU fold [3] iter 19: loss = 840.98914, delta_loss = 149.22736, learn_rate = 0.021828745
[DEBUG] 2020-09-08 14:37:12,104 -- CAMF_CU fold [5] iter 21: loss = 841.45734, delta_loss = 2.4955842, learn_rate = 0.024066191
[DEBUG] 2020-09-08 14:37:12,104 -- CAMF_CU fold [1] iter 19: loss = 838.04584, delta_loss = 150.01927, learn_rate = 0.021828745
[DEBUG] 2020-09-08 14:37:12,106 -- CAMF_CU fold [4] iter 19: loss = 971.5373, delta_loss = -3.344112, learn_rate = 0.045840364
[DEBUG] 2020-09-08 14:37:12,107 -- CAMF_CU fold [2] iter 22: loss = 851.21234, delta_loss = 2.671907, learn_rate = 0.0252695
[DEBUG] 2020-09-08 14:37:12,108 -- CAMF_CU fold [1] iter 20: loss = 825.1412, delta_loss = 12.904682, learn_rate = 0.022920182
[DEBUG] 2020-09-08 14:37:12,108 -- CAMF_CU fold [5] iter 22: loss = 842.3478, delta_loss = -0.890389, learn_rate = 0.0252695
[DEBUG] 2020-09-08 14:37:12,108 -- CAMF_CU fold [3] iter 20: loss = 827.98816, delta_loss = 13.000972, learn_rate = 0.022920182
[DEBUG] 2020-09-08 14:37:12,109 -- CAMF_CU fold [4] iter 20: loss = 817.64746, delta_loss = 153.88983, learn_rate = 0.022920182
[DEBUG] 2020-09-08 14:37:12,112 -- CAMF_CU fold [2] iter 23: loss = 852.5042, delta_loss = -1.2918535, learn_rate = 0.026532976
[DEBUG] 2020-09-08 14:37:12,112 -- CAMF_CU fold [1] iter 21: loss = 823.12274, delta_loss = 2.0183935, learn_rate = 0.024066191
[DEBUG] 2020-09-08 14:37:12,112 -- CAMF_CU fold [4] iter 21: loss = 803.6915, delta_loss = 13.955916, learn_rate = 0.024066191
[DEBUG] 2020-09-08 14:37:12,113 -- CAMF_CU fold [5] iter 23: loss = 757.4539, delta_loss = 84.89384, learn_rate = 0.01263475
[DEBUG] 2020-09-08 14:37:12,114 -- CAMF_CU fold [2] iter 24: loss = 763.35236, delta_loss = 89.151825, learn_rate = 0.013266488
[DEBUG] 2020-09-08 14:37:12,115 -- CAMF_CU fold [1] iter 22: loss = 824.342, delta_loss = -1.2192172, learn_rate = 0.0252695
[DEBUG] 2020-09-08 14:37:12,115 -- CAMF_CU fold [4] iter 22: loss = 801.3376, delta_loss = 2.353945, learn_rate = 0.0252695
[DEBUG] 2020-09-08 14:37:12,116 -- CAMF_CU fold [2] iter 25: loss = 759.5073, delta_loss = 3.8450737, learn_rate = 0.013929812
[DEBUG] 2020-09-08 14:37:12,116 -- CAMF_CU fold [5] iter 24: loss = 754.4558, delta_loss = 2.998125, learn_rate = 0.013266488
[DEBUG] 2020-09-08 14:37:12,118 -- CAMF_CU fold [1] iter 23: loss = 741.0961, delta_loss = 83.24584, learn_rate = 0.01263475
[DEBUG] 2020-09-08 14:37:12,119 -- CAMF_CU fold [4] iter 23: loss = 802.681, delta_loss = -1.3434458, learn_rate = 0.026532976
[DEBUG] 2020-09-08 14:37:12,120 -- CAMF_CU fold [2] iter 26: loss = 759.1499, delta_loss = 0.35743517, learn_rate = 0.014626304
[DEBUG] 2020-09-08 14:37:12,118 -- CAMF_CU fold [3] iter 21: loss = 825.72125, delta_loss = 2.2668998, learn_rate = 0.024066191
[DEBUG] 2020-09-08 14:37:12,120 -- CAMF_CU fold [5] iter 25: loss = 754.1869, delta_loss = 0.26891097, learn_rate = 0.013929812
[DEBUG] 2020-09-08 14:37:12,122 -- CAMF_CU fold [1] iter 24: loss = 738.02686, delta_loss = 3.0692673, learn_rate = 0.013266488
[DEBUG] 2020-09-08 14:37:12,122 -- CAMF_CU fold [4] iter 24: loss = 717.9182, delta_loss = 84.762794, learn_rate = 0.013266488
[DEBUG] 2020-09-08 14:37:12,123 -- CAMF_CU fold [2] iter 27: loss = 760.17206, delta_loss = -1.0222024, learn_rate = 0.015357618
[DEBUG] 2020-09-08 14:37:12,123 -- CAMF_CU fold [3] iter 22: loss = 826.83484, delta_loss = -1.1135844, learn_rate = 0.0252695
[DEBUG] 2020-09-08 14:37:12,123 -- CAMF_CU fold [5] iter 26: loss = 755.0985, delta_loss = -0.9116173, learn_rate = 0.014626304
[DEBUG] 2020-09-08 14:37:12,124 -- CAMF_CU fold [1] iter 25: loss = 737.8469, delta_loss = 0.17992924, learn_rate = 0.013929812
[DEBUG] 2020-09-08 14:37:12,127 -- CAMF_CU fold [4] iter 25: loss = 714.82794, delta_loss = 3.0902793, learn_rate = 0.013929812
[DEBUG] 2020-09-08 14:37:12,128 -- CAMF_CU fold [3] iter 23: loss = 743.8341, delta_loss = 83.00076, learn_rate = 0.01263475
[DEBUG] 2020-09-08 14:37:12,128 -- CAMF_CU fold [5] iter 27: loss = 707.2512, delta_loss = 47.847294, learn_rate = 0.007313152
[DEBUG] 2020-09-08 14:37:12,128 -- CAMF_CU fold [1] iter 26: loss = 738.8312, delta_loss = -0.98422563, learn_rate = 0.014626304
[DEBUG] 2020-09-08 14:37:12,129 -- CAMF_CU fold [2] iter 28: loss = 709.817, delta_loss = 50.35507, learn_rate = 0.007678809
[DEBUG] 2020-09-08 14:37:12,130 -- CAMF_CU fold [3] iter 24: loss = 741.0005, delta_loss = 2.8336074, learn_rate = 0.013266488
[DEBUG] 2020-09-08 14:37:12,130 -- CAMF_CU fold [4] iter 26: loss = 714.64886, delta_loss = 0.17909001, learn_rate = 0.014626304
[DEBUG] 2020-09-08 14:37:12,131 -- CAMF_CU fold [5] iter 28: loss = 706.9652, delta_loss = 0.2859972, learn_rate = 0.007678809
[DEBUG] 2020-09-08 14:37:12,131 -- CAMF_CU fold [1] iter 27: loss = 691.6907, delta_loss = 47.14049, learn_rate = 0.007313152
[DEBUG] 2020-09-08 14:37:12,132 -- CAMF_CU fold [2] iter 29: loss = 709.3058, delta_loss = 0.5112434, learn_rate = 0.00806275
[DEBUG] 2020-09-08 14:37:12,132 -- CAMF_CU fold [3] iter 25: loss = 740.89246, delta_loss = 0.10804699, learn_rate = 0.013929812
[DEBUG] 2020-09-08 14:37:12,134 -- CAMF_CU fold [4] iter 27: loss = 715.7103, delta_loss = -1.0614296, learn_rate = 0.015357618
[DEBUG] 2020-09-08 14:37:12,134 -- CAMF_CU fold [3] iter 26: loss = 741.93646, delta_loss = -1.043988, learn_rate = 0.014626304
[DEBUG] 2020-09-08 14:37:12,134 -- CAMF_CU fold [1] iter 28: loss = 691.3308, delta_loss = 0.35987744, learn_rate = 0.007678809
[DEBUG] 2020-09-08 14:37:12,134 -- CAMF_CU fold [5] iter 29: loss = 707.30133, delta_loss = -0.33609992, learn_rate = 0.00806275
[DEBUG] 2020-09-08 14:37:12,135 -- CAMF_CU fold [2] iter 30: loss = 709.6037, delta_loss = -0.29794484, learn_rate = 0.008465887
[DEBUG] 2020-09-08 14:37:12,136 -- CAMF_CU fold [3] iter 27: loss = 695.0382, delta_loss = 46.898243, learn_rate = 0.007313152
[DEBUG] 2020-09-08 14:37:12,137 -- CAMF_CU fold [4] iter 28: loss = 667.9492, delta_loss = 47.761086, learn_rate = 0.007678809
[DEBUG] 2020-09-08 14:37:12,137 -- CAMF_CU fold [1] iter 29: loss = 691.656, delta_loss = -0.32521617, learn_rate = 0.00806275
[DEBUG] 2020-09-08 14:37:12,137 -- CAMF_CU fold [5] iter 30: loss = 681.18274, delta_loss = 26.118578, learn_rate = 0.004031375
[DEBUG] 2020-09-08 14:37:12,139 -- CAMF_CU fold [3] iter 28: loss = 694.8246, delta_loss = 0.21360753, learn_rate = 0.007678809
[DEBUG] 2020-09-08 14:37:12,139 -- CAMF_CU fold [2] iter 31: loss = 682.05383, delta_loss = 27.54989, learn_rate = 0.0042329435
[DEBUG] 2020-09-08 14:37:12,141 -- CAMF_CU fold [4] iter 29: loss = 667.6471, delta_loss = 0.30213198, learn_rate = 0.00806275
[DEBUG] 2020-09-08 14:37:12,141 -- CAMF_CU fold [5] iter 31: loss = 681.3123, delta_loss = -0.12959936, learn_rate = 0.0042329435
[DEBUG] 2020-09-08 14:37:12,141 -- CAMF_CU fold [3] iter 29: loss = 695.23846, delta_loss = -0.41385916, learn_rate = 0.00806275
